Name,Awards,Education
Robert Cailliau,12,robert cailliau french pronunciation ʁɔbɛʁ kajo born january is belgian informatics engineer computer scientist and author who proposed the first pre www hypertext system for cern in and collaborated with tim berners lee on the world wide web jointly winning the acm software system award from before it got its name he designed the historical logo of the www organized the first international world wide web conference at cern in and helped transfer web development from cern to the global web consortium in together with dr james gillies cailliau wrote how the web was born the first book length account of the origins of the world wide web
Peter Chen,0,born in taichung taiwan peter chen received in electrical engineering in at the national taiwan university and ph in computer science applied mathematics at harvard university in in he worked one summer at ibm after graduating from harvard he spent one year at honeywell and summer at digital equipment corporation
Leonardo Chiariglione,0,after receiving classical high school education at the liceo salesiano valsalice in turin he earned master degree in electronic engineering at the polytechnic university of turin in then obtained ph degree at the university of tokyo in where he also learned to speak japanese chiariglione speaks five languages including english and french
Tracy Chou,0,she is best known for raising the profile of the issue of the low representation of women in technology companies and pressuring companies to reveal more statistics about the composition of their workforce in she co founded the advocacy group project include with seven other women from the industry in she was named one of time women of the year
Alonzo Church,0,alonzo church was born on june in washington where his father samuel robbins church was justice of the peace and the judge of the municipal court for the district of columbia he was the grandson of alonzo webster church united states senate librarian from and great grandson of alonzo church professor of mathematics and astronomy and th president of the university of georgia as young boy church was partially blinded by an air gun accident the family later moved to virginia after his father lost his position at the university because of failing eyesight with help from his uncle also named alonzo church the son attended the private ridgefield school for boys in ridgefield connecticut after graduating from ridgefield in church attended princeton university where he was an exceptional student he published his first paper on lorentz transformations in and graduated the same year with degree in mathematics he stayed at princeton for graduate work earning ph in mathematics in three years under oswald veblen
Alberto Ciaramella,0,ciaramella obtained the laurea in electronic engineering and the post laurea in at la sapienza university in rome with prof antonio ruberti as supervisor of his thesis then he joined cselt as research engineer
Edmund M. Clarke,0,born in newport news virginia clarke received degree in mathematics from the university of virginia charlottesville in an degree in mathematics from duke university durham nc in and ph degree in computer science from cornell university ithaca ny in after receiving his ph he taught in the department of computer science at duke university for two years in he moved to harvard university cambridge ma where he was an assistant professor of computer science in the division of applied sciences he left harvard in to join the faculty in the computer science department at carnegie mellon university pittsburgh pa he was appointed full professor in in he became the first recipient of the fore systems professorship an endowed chair in the carnegie mellon school of computer science he became university professor in and became an emeritus professor in
John Cocke,0,john cocke may july was an american computer scientist recognized for his large contribution to computer architecture and optimizing compiler design he is considered by many to be the father of risc architecture
Edgar F. Codd,0,edgar frank ted codd august april was an english computer scientist who while working for ibm invented the relational model for database management the theoretical basis for relational databases and relational database management systems he made other valuable contributions to computer science but the relational model very influential general theory of data management remains his most mentioned analyzed and celebrated achievement
Jacques Cohen,0,pioneering many aspects of modern computer science cohen work includes experimentation education and research directed and carried out at many institutions of higher learning including brandeis university brown university mit wellesley college and french universities in the cities of marseilles grenoble and nancy
Ian Coldwater,0,ian coldwater is an influential american computer security specialist hacker and speaker specializing in kubernetes and cloud native security they are security architect at twilio and they co chair the kubernetes special interest group kubernetes sig security
Alain Colmerauer,0,alain colmerauer january may was french computer scientist he was professor at aix marseille university and the creator of the logic programming language prolog
Douglas Comer,8,comer holds bs in mathematics and physics from houghton college earned in and phd in computer science from pennsylvania state university earned in
Paul Justin Compton,0,paul compton born is an emeritus professor at the university of new south wales unsw he was also the former head of the unsw school of computer science and engineering he is known for proposing ripple down rules
Richard W. Conway,2,conway was born on december in milwaukee wisconsin he grew up in that state and attended whitefish bay high school in the milwaukee county village of that name he was awarded john mcmullen regional scholarship for the study of engineering
Stephen Cook,8,cook received his bachelor degree in from the university of michigan and his master degree and phd from harvard university respectively in and from the mathematics department he joined the university of california berkeley mathematics department in as an assistant professor and stayed there until when he was denied reappointment in speech celebrating the th anniversary of the berkeley electrical engineering and computer sciences department fellow turing award winner and berkeley professor richard karp said that it is to our everlasting shame that we were unable to persuade the math department to give him tenure cook joined the faculty of the university of toronto computer science and mathematics departments in as an associate professor where he was promoted to professor in and distinguished professor in
Danese Cooper,0,cooper has managed teams at symantec and apple inc for six years she served as chief open source evangelist for sun microsystems before leaving to serve as senior director for open source strategies at intel in she worked as open source diva at revolution computing now revolution analytics she is board member of the open source hardware association she is board observer at mozilla and serves as member of the apache software foundation she was board member at the drupal association and the open source initiative in october danese joined irish tech company nearform as vp of special initiatives
Fernando J. Corbató,2,corbató was born on july in oakland california to hermenegildo corbató spanish literature professor from villarreal spain and charlotte née carella jensen corbató in the corbató family moved to los angeles for hermenegildo job at the university of california los angeles
Seymour Cray,0,cray was born in in chippewa falls wisconsin to seymour and lillian cray his father was civil engineer who fostered cray interest in science and engineering as early as the age of ten he was able to build device out of erector set components that converted punched paper tape into morse code signals the basement of the family home was given over to the young cray as laboratory
Nello Cristianini,0,nello cristianini born is professor of artificial intelligence in the department of computer science at the university of bath
Jon Crowcroft,0,jonathan andrew crowcroft frs freng born november is the marconi professor of communications systems in the department of computer science and technology university of cambridge and the chair of the programme committee at the alan turing institute
W. Bruce Croft,0,bruce croft formed the center for intelligent information retrieval ciir in since when he and his students have worked with more than industry and government partners on research and technology projects and have produced more than papers bruce croft has made major contributions to most areas of information retrieval including pioneering work in clustering passage retrieval sentence retrieval and distributed search one of the most important areas of work for croft relates to ranking functions and retrieval models where he has led the development of one of the major approaches to modeling search language modelling in later years croft also led the way in the development of feature based ranking functions croft and his research group have also developed series of search engines inquery the lemur toolkit indri and galago these search engines are open source and offer unique capabilities that are not replicated in other research retrieval platforms source consequently they are downloaded by hundreds of researchers world wide as consequence of his work croft is one of the most cited researchers in information retrieval
Haskell Curry,0,curry was born on september in millis massachusetts to samuel silas curry and anna baright curry who ran school for elocution he entered harvard university in to study medicine but switched to mathematics before graduating in after two years of graduate work in electrical engineering at mit he returned to harvard to study physics earning an ma in curry interest in mathematical logic started during this period when he was introduced to the principia mathematica the attempt by alfred north whitehead and bertrand russell to ground mathematics in symbolic logic remaining at harvard curry pursued ph in mathematics while he was directed by george david birkhoff to work on differential equations his interests continued to shift to logic in while an instructor at princeton university he discovered the work of moses schönfinkel in combinatory logic schönfinkel work had anticipated much of curry own research and as consequence he moved to university of göttingen where he could work with heinrich behmann and paul bernays who were familiar with schönfinkel work curry was supervised by david hilbert and worked closely with bernays receiving ph in with dissertation on combinatory logic
Ole-Johan Dahl,0,ole johan dahl october june was norwegian computer scientist dahl was professor of computer science at the university of oslo and is considered to be one of the fathers of simula and object oriented programming along with kristen nygaard
Ryan Dahl,0,dahl grew up in san diego california his mother bought him an apple iic when he was six years old one of his first experiences with technology dahl attended community college in san diego and later transferred into uc san diego where he studied mathematics he went on to attend grad school for mathematics at the university of rochester where he studied algebraic topology which he found very abstract and beautiful for couple of years but later got bored of it because it was not so applicable to real life
Neil Daswani,0,neil daswani is co director of the stanford advanced security certification program and an expert in web application security he is the lead author of the book foundations of security what every programmer needs to know
Christopher J. Date,0,chris date born is an independent author lecturer researcher and consultant specializing in relational database theory
Jeff Dean,0,jeffrey adgate jeff dean born july is an american computer scientist and software engineer since he is the lead of google ai google ai division
Erik Demaine,0,erik demaine born february is professor of computer science at the massachusetts institute of technology and former child prodigy
Tom DeMarco,1,tom demarco born august is an american software engineer author and consultant on software engineering topics he was an early developer of structured analysis in the
Richard DeMillo,0,in he stepped down as the john imlay dean of computing at georgia tech after serving in that role for six years after ten years directing georgia tech center for st century universities living laboratory devoted to fundamental change in higher education he agreed november to be the interim chair of the new school of cybersecurity and privacy in the college of computing
Dorothy E. Denning,0,dorothy elizabeth robling daughter of lowell and helen watson robling grew up in grand rapids michigan she earned bachelor of arts degree in mathematics in followed by master of arts degree in at the university of michigan her phd thesis was on secure information flow in computer systems and awarded in by purdue university
Peter J. Denning,0,peter james denning born january is an american computer scientist and writer he is best known for pioneering work in virtual memory especially for inventing the working set model for program behavior which addressed thrashing in operating systems and became the reference standard for all memory management policies he is also known for his works on principles of operating systems operational analysis of queueing network systems design and implementation of csnet the acm digital library codifying the great principles of computing and most recently for the book the innovator way on innovation as set of learnable practices
Michael Dertouzos,0,dertouzos predicted the expansion of computer use very early and was one of the pioneers in many areas of technology these included his contributions to the web particularly through his visionary approach to ubiquitous computing
Robert Dewar,0,robert berriedale keith dewar june june was an american computer scientist and educator he helped to develop programming languages and compilers and was an outspoken advocate of freely licensed open source software he was cofounder ceo and president of the adacore software company he was also an enthusiastic amateur performer and musician especially with the village light opera group in new york city
Vinod Dham,0,vinod dham is an indian american engineer entrepreneur and venture capitalist he is known as father of the pentium chip for his contribution to the development of intel pentium micro processor he is mentor advisor and sits on the boards of companies including startups funded through his india based fund indo us venture partners where he is the founding managing director
Jan Dietz,0,born in brunssum dietz studied at the eindhoven university of technology where in he obtained his ma in electrical engineering and later in his phd with the thesis entitled modelleren en specificeren van specification and modeling of information systems under supervision of kees van hee en theo bemelmans
Whitfield Diffie,6,after long career at sun microsystems where he became sun fellow diffie served for two and half years as vice president for information security and cryptography at the internet corporation for assigned names and numbers he has also served as visiting scholar and affiliate at the freeman spogli institute center for international security and cooperation at stanford university where he is currently consulting scholar
Edsger Dijkstra,5,shortly before his death in he received the acm podc influential paper award in distributed computing for his work on self stabilization of program computation this annual award was renamed the dijkstra prize the following year in his honor
Matthew Dillon,0,matthew dillon born is an american software engineer known for amiga software contributions to freebsd and for starting and leading the dragonfly bsd project since
Jack Dongarra,8,jack joseph dongarra frs born july is an american computer scientist and mathematician he is the american university distinguished professor of computer science in the electrical engineering and computer science department at the university of tennessee he holds the position of distinguished research staff member in the computer science and mathematics division at oak ridge national laboratory turing fellowship in the school of mathematics at the university of manchester and is an adjunct professor in the computer science department at rice university he served as faculty fellow at the texas university institute for advanced study dongarra is the founding director of the innovative computing laboratory at the university of tennessee he was the recipient of the turing award in
Paul Dourish,2,paul dourish born is computer scientist best known for his work and research at the intersection of computer science and social science born in scotland he holds the steckler endowed chair of information and computer science at the university of california irvine where he joined the faculty in and where he directs the steckler center for responsible ethical and accessible technology he is fellow of the aaas the acm and the british computer society and is two time winner of the acm cscw lasting impact award in and
Charles Stark Draper,1,draper was born in windsor missouri he attended the university of missouri in then transferred to stanford university california in from which he earned in psychology in he matriculated at mit in earning bachelor of science degree in electrochemical engineering and master of science and doctor of science degrees in physics charles stark draper relatives were prominent in his home state of missouri including his cousin governor lloyd stark
Susan Dumais,0,susan dumais is technical fellow at microsoft and managing director of the microsoft research northeast labs inclusive of msr new england msr new york and msr montreal she is also an affiliate professor at the university of washington information school
Jon Michael Dunn,0,michael dunn june april was oscar ewing professor emeritus of philosophy professor emeritus of informatics and computer science was twice chair of the philosophy department was executive associate dean of the college of arts and sciences and was founding dean of the school of informatics now the luddy school of informatics computing and engineering at indiana university
Annie Easley,0,before the civil rights movement educational and career opportunities for african american children were very limited segregation was prevalent african american children were educated separately from white children and their schools were often inferior to white schools annie mother told her that she could be anything but she would have to work at it she encouraged annie to get good education from the fifth grade through high school annie attended holy family high school and was valedictorian of her graduating class at young age annie had interest in becoming nurse but around the age of she decided to study pharmacy
John Presper Eckert,0,eckert was born in philadelphia to wealthy real estate developer john eckert and was raised in large house in philadelphia germantown section during elementary school he was driven by chauffeur to william penn charter school and in high school joined the engineer club of philadelphia and spent afternoons at the electronics laboratory of television inventor philo farnsworth in chestnut hill he placed second in the country on the math portion of the college board examination
Alan Edelman,7,alan stuart edelman born june is an american mathematician and computer scientist he is professor of applied mathematics at the massachusetts institute of technology mit and principal investigator at the mit computer science and artificial intelligence laboratory csail where he leads group in applied computing in he founded business interactive supercomputing which was later acquired by microsoft edelman is fellow of american mathematical society ams society for industrial and applied mathematics siam institute of electrical and electronics engineers ieee and association for computing machinery acm for his contributions in numerical linear algebra computational science parallel computing and random matrix theory and he is one of the cocreators of the technical programming language julia
Brendan Eich,0,brendan eich ˈaɪk born july is an american computer programmer and technology executive he created the javascript programming language and co founded the mozilla project the mozilla foundation and the mozilla corporation he served as the mozilla corporation chief technical officer before he was appointed chief executive officer but resigned shortly after his appointment due to controversy over his opposition to same sex marriage he subsequently became the ceo of brave software
Philip Emeagwali,0,philip emeagwali was born in akure nigeria on august he was raised in onitsha in the south eastern part of nigeria his early schooling was suspended in as result of the nigerian civil war at age he served in the biafran army after the war he completed high school equivalence through self study
E. Allen Emerson,2,ernest allen emerson ii born june better known as allen emerson is an american computer scientist and winner of the turing award he is professor and regents chair emeritus at the university of texas at austin united states
Barbara Engelhardt,0,engelhardt received bachelor of science in symbolic systems and master of science in computer science from stanford university she received phd in from the university of california berkeley supervised by michael jordan
Don Estridge,0,estridge was born in jacksonville florida his father was professional photographer he graduated from bishop kenny high school in and from the university of florida in he married mary ann hellier in september and they had three children patricia ann mary evelyn and sandra marie he completed bachelor degree in electrical engineering at the university of florida and worked at the army designing radar system using computers ibm and finally nasa goddard space flight center until he moved to boca raton florida in
Oren Etzioni,0,etzioni is the son of israeli american intellectual amitai etzioni he was the first student to major in computer science at harvard university where he earned bachelor degree in he earned phd from carnegie mellon university in january supervised by tom mitchell
Christopher Riche Evans,0,christopher riche evans may october was british psychologist computer scientist and author
David C. Evans,0,david cannon evans february october was the founder of the computer science department at the university of utah and co founder with ivan sutherland of evans sutherland pioneering firm in computer graphics hardware
Scott Fahlman,0,fahlman was born in medina ohio the son of lorna may dean and john emil fahlman he attended the massachusetts institute of technology mit where he received bachelor of science and master of science degree in electrical engineering and computer science in and doctor of philosophy ph in artificial intelligence in his master thesis advisor was patrick winston and his doctoral thesis advisor was gerald sussman he has noted that his doctoral diploma says the degree was awarded for original research as demonstrated by thesis in the field of artificial intelligence and suggested that it may be the first doctorate to use that term he is fellow of the american association for artificial intelligence
Edward Feigenbaum,0,feigenbaum was born in weehawken new jersey in to culturally jewish family and moved to nearby north bergen where he lived until the age of when he left to start college his hometown did not have secondary school of its own and so he chose weehawken high school for its college preparatory program he was inducted into his high school hall of fame in
Edward Felten,2,felten has done variety of computer security research including groundbreaking work on proof carrying authentication and work on security related to the java programming language but he is perhaps best known for his paper on the secure digital music initiative sdmi challenge
Tim Finin,2,finin earned an undergraduate degree in electrical engineering from mit in and phd in computer science from the university of illinois at urbana champaign in
Raphael Finkel,0,raphael finkel born is an american computer scientist and professor at the university of kentucky he compiled the first version of the jargon file he is the author of an operating systems vade mecum textbook on operating systems and advanced programming language design an introductory book on programming paradigms finkel and bentley created the data structure called the quadtree
Donald Firesmith,0,firesmith received his in mathematics and german from linfield college in and his in mathematics from arizona state university in he also studied one year at ludwig maximilian university of munich
Tommy Flowers,0,thomas harold flowers mbe december october was an english engineer with the british general post office during world war ii flowers designed and built colossus the world first programmable electronic computer to help decipher encrypted german messages
Robert Floyd,0,robert floyd june september was computer scientist his contributions include the design of the floyd warshall algorithm independently of stephen warshall which efficiently finds all shortest paths in graph and his work on parsing floyd cycle finding algorithm for detecting cycles in sequence was attributed to him as well in one isolated paper he introduced the important concept of error diffusion for rendering images also called floyd steinberg dithering though he distinguished dithering from diffusion he pioneered in the field of program verification using logical assertions with the paper assigning meanings to programs this was contribution to what later became hoare logic floyd received the turing award in
Sally Floyd,2,born in charlottesville virginia floyd received ba in sociology from the university of california berkeley in she received an ms in computer science in and phd in both from uc berkeley her phd was completed under the supervision of richard karp
